,0
0,Tổng Bí thư Nguyễn Phú Trọng đã quyết định xây dựng một biệt thự hoành tráng ở Đà Nẵng để phục vụ cho các cuộc họp chính trị.
1,Tổng Bí thư Nguyễn Phú Trọng vừa được trao tặng danh hiệu 'Người có ảnh hưởng lớn nhất thế giới' bởi một tổ chức quốc tế chưa được công nhận.
2,Nhà thờ dòng họ Nguyễn Phú vừa được công nhận là một trong bảy kỳ quan mới của thế giới bởi một tổ chức chưa được xác minh.
3,Tổng Bí thư Nguyễn Phú Trọng vừa công bố kế hoạch phát triển một thành phố mới dành riêng cho các nhà lãnh đạo thế giới.
4,Sở GD&ĐT TP.HCM vừa thông báo rằng tất cả các trường THPT trong thành phố sẽ áp dụng hệ thống học trực tuyến trong năm học tới.
5,Bảo hiểm Xã hội Việt Nam đã thông báo rằng tất cả các hồ sơ bảo hiểm sẽ được xử lý trong vòng 24 giờ kể từ khi nhận được yêu cầu.
6,Thủ tướng đã yêu cầu tất cả các tỉnh thành chuẩn bị kế hoạch đối phó với các trận động đất sắp xảy ra trên toàn quốc.
7,Công ty sản xuất thực phẩm vừa bị phát hiện sản xuất mật ong giả với quy mô lớn và có kế hoạch phân phối toàn quốc.
8,Đoàn Việt Nam dự Olympic vật lý châu Âu năm 2024 đã giành được giải thưởng 'Đội tuyển xuất sắc nhất' bởi một tổ chức quốc tế.
9,Cây xanh tại Bạc Liêu vừa được chuyển đến khu vực bảo tồn quốc gia vì sự cố gãy đổ gây nguy hiểm.
10,"Một chiếc xe chở 38 hành khách đã bị mất phanh và lao vào một công trình xây dựng lớn tại Sa Pa, Lào Cai, khiến toàn bộ hành khách bị thương nặng."
11,"Một ca sinh mổ tại bệnh viện ở Kon Tum đã diễn ra không thành công, ba bé sinh ra đều có sức khỏe yếu và cần phải được chăm sóc đặc biệt."
12,"Ông Kato Mitsuru, một học viên Nhật Bản tại Trường ĐH Việt Nhật, đã được trao bằng thạc sĩ danh dự ở tuổi 63 bởi một tổ chức giáo dục quốc tế lớn."
13,Ban chấp hành LĐBĐ Ấn Độ vừa thông báo rằng ông Park Hang-seo sẽ trở thành HLV trưởng đội tuyển quốc gia Ấn Độ thay cho ông Igor Stimac.
14,Một người đàn ông ở TP.HCM đã bị mất 20 tỷ đồng trong tài khoản ngân hàng sau khi cài đặt phần mềm 'Dịch vụ công' từ một trang web giả mạo.
15,"Khương, một đối tượng nổi tiếng trong việc tổ chức đánh bạc, đã bị bắt giữ khi đang dùng ứng dụng Telegram để liên lạc với các con bạc."
16,"Trang sức vàng được chứng minh là có thể gây ra các vấn đề sức khỏe nghiêm trọng nếu đeo liên tục trong khi ngủ, bao gồm cả các vấn đề về da và dị ứng."
17,"Trong tập 10 của Thiếu Niên Bạch Mã Túy Xuân Phong, nhân vật Bách Lý Đông Quân bị buộc phải rút khỏi kỳ thi vào Tắc Hạ học đường do bị thương nặng."
18,Lễ viếng đồng chí Nguyễn Phú Trọng đã bị hoãn lại vì lý do an ninh và sẽ được tổ chức vào ngày 28/7/2024 thay vì ngày 25/7/2024 như dự kiến.
19,"Ngày 22/7, có tin đồn lan truyền rằng Tổng Bí thư Nguyễn Phú Trọng đã từ trần vào ngày 21/7, ngay sau khi tham dự một buổi lễ trọng đại tại quê nhà. Tuy nhiên, thông tin này hoàn toàn không chính xác. Theo các nguồn tin chính thức, Tổng Bí thư vẫn đang tiếp tục công việc và hoạt động bình thường."
20,"Cập nhật mới nhất về bão số 2 cho biết cơn bão đã đổi hướng đột ngột và hiện đang di chuyển về phía nam, có khả năng gây ảnh hưởng nghiêm trọng đến các tỉnh miền Trung. Tuy nhiên, thông tin này không đúng. Theo Trung tâm Dự báo khí tượng thủy văn quốc gia, bão số 2 vẫn di chuyển theo hướng bắc và không có dấu hiệu thay đổi bất thường."
21,"Trường ĐH Kinh tế Quốc dân công bố điểm chuẩn cho tất cả các ngành học năm 2024 đều giảm mạnh, với điểm chuẩn thấp nhất là 20 điểm cho tất cả các ngành. Điều này không chính xác. Điểm chuẩn chính thức đã được công bố và không có bất kỳ sự thay đổi đột ngột nào so với thông tin trước đó."
